"SUBJID"	"COUNTRY_SELF"
1079	"Portugal"
932	"Portugal"
202	"Portugal"
2228	"Portugal"
1315	"Portugal"
1904	"Portugal"
806	"Portugal"
1993	"Portugal"
67	"Portugal"
1553	"Portugal"
1120	"Portugal"
1684	"Portugal"
2223	"Portugal"
1978	"Portugal"
253	"Portugal"
514	"Portugal"
663	"Portugal"
2196	"Portugal"
439	"Portugal"
1378	"Portugal"
677	"Portugal"
19	"Portugal"
535	"Portugal"
1204	"Portugal"
1005	"Portugal"
2009	"Romania"
2213	"Romania"
1238	"Romania"
1029	"Romania"
1024	"Romania"
638	"Romania"
1699	"Romania"
559	"Romania"
613	"Romania"
105	"Romania"
1135	"Romania"
989	"Romania"
1646	"Romania"
1213	"Romania"
577	"Russia"
1764	"Russia"
1906	"Russia"
604	"Russia"
15	"Russia"
746	"Russia"
573	"Scotland"
1547	"Scotland"
1	"Scotland"
1578	"Scotland"
1508	"Scotland"
1236	"Serbia"
2130	"Serbia"
754	"Serbia"
756	"Serbia"
890	"Serbia"
1428	"Serbia"
1280	"Serbia"
988	"Serbia"
1691	"Serbia"
2122	"Serbia"
2052	"Serbia"
913	"Slovakia"
248	"Slovenia"
307	"Slovenia"
1159	"Spain"
579	"Spain"
1184	"Spain"
320	"Spain"
1941	"Spain"
1710	"Spain"
2010	"Spain"
2021	"Spain"
517	"Spain"
446	"Spain"
400	"Spain"
1587	"Spain"
96	"Spain"
2200	"Spain"
1834	"Spain"
2158	"Spain"
534	"Spain"
2216	"Spain"
1755	"Spain"
392	"Spain"
2190	"Spain"
1104	"Spain"
349	"Spain"
125	"Spain"
880	"Spain"
2176	"Spain"
528	"Spain"
357	"Spain"
623	"Spain"
1016	"Spain"
1960	"Spain"
664	"Spain"
1510	"Spain"
556	"Spain"
42	"Spain"
1108	"Spain"
769	"Spain"
821	"Spain"
842	"Spain"
1501	"Spain"
181	"Spain"
822	"Spain"
1493	"Spain"
819	"Spain"
565	"Spain"
591	"Spain"
1161	"Spain"
2145	"Spain"
1883	"Spain"
2035	"Spain"
1432	"Spain"
397	"Spain"
1840	"Spain"
2147	"Spain"
464	"Spain"
1803	"Spain"
2186	"Spain"
2229	"Spain"
904	"Spain"
1013	"Spain"
952	"Spain"
2255	"Spain"
87	"Spain"
359	"Spain"
1103	"Spain"
106	"Spain"
220	"Spain"
1891	"Spain"
2113	"Spain"
64	"Spain"
884	"Spain"
1021	"Spain"
1991	"Spain"
1278	"Spain"
2020	"Spain"
161	"Spain"
2050	"Spain"
1550	"Spain"
1447	"Spain"
935	"Spain"
1319	"Spain"
2033	"Spain"
1718	"Spain"
117	"Spain"
1369	"Spain"
353	"Spain"
864	"Spain"
1681	"Spain"
2204	"Spain"
833	"Spain"
246	"Spain"
1912	"Spain"
255	"Spain"
550	"Spain"
474	"Spain"
1996	"Spain"
211	"Spain"
792	"Spain"
494	"Spain"
313	"Spain"
1433	"Spain"
1243	"Spain"
149	"Spain"
1476	"Spain"
1198	"Spain"
1709	"Spain"
997	"Spain"
1490	"Spain"
1242	"Spain"
1504	"Spain"
1896	"Spain"
955	"Spain"
97	"Spain"
1560	"Spain"
620	"Spain"
1170	"Spain"
368	"Spain"
2131	"Spain"
387	"Spain"
1740	"Spain"
323	"Spain"
1864	"Spain"
877	"Spain"
1665	"Spain"
1291	"Spain"
1281	"Spain"
445	"Spain"
1546	"Spain"
1605	"Spain"
1192	"Spain"
1745	"Sweden"
992	"Sweden"
1107	"Sweden"
302	"Sweden"
2163	"Sweden"
329	"Sweden"
1067	"Sweden"
1617	"Sweden"
28	"Sweden"
686	"Sweden"
466	"Swiss French"
1725	"Swiss French"
2092	"Swiss French"
1358	"Swiss French"
1819	"Swiss French"
408	"Swiss French"
647	"Swiss French"
2251	"Swiss French"
198	"Swiss French"
757	"Swiss French"
1375	"Swiss French"
1783	"Swiss French"
18	"Swiss French"
1794	"Swiss French"
652	"Swiss French"
1881	"Swiss French"
1652	"Swiss French"
1372	"Swiss French"
1626	"Swiss French"
541	"Swiss French"
1743	"Swiss French"
1923	"Swiss French"
1608	"Swiss French"
120	"Swiss French"
1938	"Swiss French"
2056	"Swiss French"
557	"Swiss French"
990	"Swiss French"
940	"Swiss French"
341	"Swiss French"
950	"Swiss French"
68	"Swiss French"
1914	"Swiss French"
1765	"Swiss French"
926	"Swiss French"
1558	"Swiss French"
90	"Swiss French"
1515	"Swiss French"
190	"Swiss French"
79	"Swiss French"
58	"Swiss French"
309	"Swiss French"
946	"Swiss French"
767	"Swiss French"
37	"Swiss French"
331	"Swiss French"
1482	"Swiss French"
1809	"Swiss French"
1283	"Swiss French"
2231	"Swiss French"
1655	"Swiss French"
574	"Swiss French"
1778	"Swiss French"
2044	"Swiss French"
1438	"Swiss French"
1125	"Swiss French"
1377	"Swiss French"
1877	"Swiss French"
167	"Swiss French"
1727	"Swiss French"
729	"Swiss French"
1506	"Swiss French"
2151	"Swiss French"
1486	"Swiss French"
1900	"Swiss French"
761	"Swiss French"
412	"Swiss French"
1316	"Swiss French"
1940	"Swiss French"
542	"Swiss French"
968	"Swiss French"
497	"Swiss French"
515	"Swiss French"
675	"Swiss French"
1207	"Swiss French"
2241	"Swiss French"
898	"Swiss French"
2137	"Swiss French"
498	"Swiss French"
1522	"Swiss French"
1253	"Swiss French"
1968	"Swiss French"
274	"Swiss French"
424	"Swiss French"
1098	"Swiss French"
370	"Swiss French"
273	"Swiss French"
1911	"Swiss French"
710	"Swiss French"
2233	"Swiss French"
1487	"Swiss French"
160	"Swiss French"
553	"Swiss French"
878	"Swiss French"
722	"Swiss French"
1871	"Swiss French"
845	"Swiss French"
1503	"Swiss French"
659	"Swiss French"
312	"Swiss French"
1695	"Swiss French"
233	"Swiss French"
1722	"Swiss French"
1796	"Swiss French"
1386	"Swiss French"
670	"Swiss French"
918	"Swiss French"
184	"Swiss French"
1055	"Swiss French"
1015	"Swiss French"
1113	"Swiss French"
163	"Swiss French"
665	"Swiss French"
1768	"Swiss French"
511	"Swiss French"
306	"Swiss French"
779	"Swiss French"
1169	"Swiss French"
1872	"Swiss French"
221	"Swiss French"
1977	"Swiss French"
2047	"Swiss French"
1025	"Swiss French"
26	"Swiss French"
1955	"Swiss French"
153	"Swiss French"
632	"Swiss French"
740	"Swiss French"
644	"Swiss French"
98	"Swiss French"
1623	"Swiss French"
1022	"Swiss French"
658	"Swiss French"
2125	"Swiss French"
964	"Swiss French"
2074	"Swiss French"
1981	"Swiss French"
777	"Swiss French"
348	"Swiss French"
5	"Swiss French"
780	"Swiss French"
1063	"Swiss French"
975	"Swiss French"
2236	"Swiss French"
